line,flag_count,flags,word_count,details,input,output
68,3,conclusion_label; restatement_opener; defines_basic_terms,61,[conclusion_label] this ensures | [restatement_opener] Judge kick is legitimate because it's a logical extension of conditionality. | [defines_basic_terms] which means ,[General · theory] Why is judge kick legitimate?,"Judge kick is legitimate because it's a logical extension of conditionality. The aff's burden is to prove the plan is better than all options, not just the CP, which means the judge should evaluate the status quo if the CP is rejected. This ensures the neg can test the aff against the full range of competitive options, including the status quo."
69,2,conclusion_label; restatement_opener,58,[conclusion_label] outweighs on magnitude | [restatement_opener] The aff should get 1AR theory because the neg can engage in nearly infinite abus,[Aff · theory] Why should the aff get 1AR theory?,"The aff should get 1AR theory because the neg can engage in nearly infinite abuse, like delivering a 13-minute 1NC or stacking numerous NIBs, leaving the aff without recourse. This outweighs on magnitude and probability since it means the aff would lose every round and creates a structural incentive for the neg to be abusive in every round."
108,2,conclusion_label; restatement_opener,38,"[conclusion_label] this undermines | [restatement_opener] We should reject meta-theory because it leads to infinite regress, where debater",[General · reject meta-theory · 2NR] Why should we reject meta-theory?,"We should reject meta-theory because it leads to infinite regress, where debaters can continuously read theory on top of theory. This undermines the judge's ability to make a final decision, as it imposes a meta-constraint on their jurisdiction."
117,2,conclusion_label; restatement_opener,43,[conclusion_label] this ensures | [restatement_opener] We should preserve fidelity for the 2NR to the 1NC because unwarranted blip stor,[Aff · framework 2AR] Why should we preserve fidelity for the 2NR to the 1NC?,"We should preserve fidelity for the 2NR to the 1NC because unwarranted blip storms shouldn't be evaluated. This ensures that new 2NR claims are scrutinized, and those without warrants are rejected. Allowing otherwise turns the debate into a tricks contest, undermining substantive engagement."
151,2,filler_phrase; restatement_opener,79,"[filler_phrase] ultimately, | [restatement_opener] We should prioritize education over fairness in debate because fairness is only ",[General · fairness vs education] Why should we prioritize education over fairness in debate?,"We should prioritize education over fairness in debate because fairness is only a means to achieve educational outcomes. If a debate were fair but lacked educational value, it would serve no purpose. Education provides long-term benefits beyond debate, equipping us with skills useful in life, whereas fairness impacts only the immediate round. Debate without education is meaningless; a perfectly fair debate could be a coin flip, which teaches nothing. Ultimately, the educational benefits are why we engage in debate."
155,2,conclusion_label; filler_phrase,47,[conclusion_label] this demonstrates; which outweighs | [filler_phrase] this demonstrates,[Neg · strat skew · 2NR] Why is the aff skew incorrect?,"The aff skew is incorrect because it's empirically disproven; affs often overcome 1N shells and still win rounds with their own shell. This demonstrates that the supposed strategic disadvantage doesn't hold up in practice. Additionally, affs have the advantage of verifiability, which outweighs concerns about strat skew."
209,2,conclusion_label; restatement_opener,38,[conclusion_label] this undermines | [restatement_opener] We should reject bidirectional interpretations because they are used purely for ,[Neg · bidirectional interps] Why should we reject bidirectional interpretations?,"We should reject bidirectional interpretations because they are used purely for strategic purposes, like when debaters read ACC or straight ref bad only in difficult rounds. This undermines norming by preventing a clear set of rules for debate."
2,1,word_count,34,[word_count] 34 words (too sparse),[Neg · Representations K] Why can't the AFF weigh case against the K?,"The aff can't weigh case against the K because the K is procedural, similar to condo or disclosure. Theoretical practices, like those addressed in the K, must be resolved before substantive impacts like extinction."
10,1,conclusion_label,76,[conclusion_label] this shows that,[General · reps K] Why does winning in debate change norms?,"Winning in debate changes norms because ballots have a spillover effect that influences social practices. 1. Explanatory power: Debate is a negotiable game where victory is intertwined with social practices, as seen in the evolution of theoretical norms and the shift in K debate. This shows that successful arguments drive change. 2. Counterfactuals: Imagine if teams like Louisville, Emporia, and Rutgers never won a round. If debate would look different, it proves that winning impacts norms."
20,1,conclusion_label,50,[conclusion_label] this means that,[Neg · reps K] What's the best answer to clash when answering plan focus?,"Clash is a non-starter in the context of a reps K because engaging in clash over racist research only reinforces and refines those racist tendencies, as shown by subject formation theory. This means that focusing on clash doesn't solve the problem but instead perpetuates the harmful representations the K critiques."
